Symbol,Headline
AUROPHARMA.NS,"AUROPHARMA Outlook for the Week (June 22, 2026 – June 26, 2026) - Equitypandit"
AUROPHARMA.NS,"Aurobindo Pharma Limited (NSE:AUROPHARMA) Released Earnings Last Week And Analysts Lifted Their Price Target To ₹1,466 - simplywall.st"
AUROPHARMA.NS,"AUROPHARMA: Revenue and profit grew modestly, with strategic investments and global expansion highlighted - TradingView"
AUROPHARMA.NS,How The Aurobindo Pharma (NSEI:AUROPHARMA) Valuation Story Is Shifting Around Margins And Risk - Yahoo Finance
AUROPHARMA.NS,"Voltas, Auro Pharma, Federal Bank: Stocks to trade— Check price targets, stop loss & more - Business Today"
MAHABANK.NS,"Bank of Maharashtra (NSE:MAHABANK) most popular amongst state or government who own 74% of the shares, institutions hold 16% - simplywall.st"
MAHABANK.NS,"Bank of Maharashtra Q4 results 2026, dividend amount announcement date and time - MAHABANK quarterly earnings schedule - Business Today"
MAHABANK.NS,Bank of Maharashtra Dividend Signal; Shares Rise 2.87% - HDFC Sky
MAHABANK.NS,Bank of Maharashtra hits 52-week high on strong Q4; HDFC Sec retains 'Buy' - Business Standard
MAHABANK.NS,Bank of Maharashtra Declares 10% Interim Dividend for FY26 - HDFC Sky
BELRISE.NS,Belrise shares jump 8% to hit 52-week high as diversification remains in focus; here's what analysts say - Upstox
BELRISE.NS,"Infosys, State Bank of India, Tata Motors PV, Cognizant, Belrise Industries And More On Brokerages' Radar - NDTV Profit"
BELRISE.NS,Stocks to Buy: This auto parts maker is already up 137% from its IPO price and HSBC sees further upside - CNBC TV18
BELRISE.NS,"If EPS Growth Is Important To You, Belrise Industries (NSE:BELRISE) Presents An Opportunity - simplywall.st"
BELRISE.NS,From scooter frames to satellite parts: Belrise’s quiet push into the global aerospace supply chain - The Indian Express
BHARATFORG.NS,"BHARATFORG Outlook for the Week (June 22, 2026 – June 26, 2026) - Equitypandit"
BHARATFORG.NS,Bharat Forge (NSE:BHARATFORG) Will Pay A Smaller Dividend Than Last Year - simplywall.st
BHARATFORG.NS,Bharat Forge Signs 4.25 Billion Rupees Contract For Gas Turbine Generators To Indian Navy - TradingView
BHARATFORG.NS,BHARATFORG 30 Jun 26 Future Research Recommendation - HDFC Sky
BHARATFORG.NS,Bharat Forge's (NSE:BHARATFORG) Solid Earnings May Rest On Weak Foundations - simplywall.st
BHEL.NS,"Centre puts BHEL, SAIL on one-year notice, reviews 'Maharatna' status - Business Standard"
BHEL.NS,BHEL secures order worth ₹90 crore from Damodar Valley Corporation; shares trade in the red - Upstox
BHEL.NS,"BHEL, SAIL at risk of losing Maharatna tag - The Economic Times"
BHEL.NS,"BHEL bags over ₹21,000 crore EPC contract for 2,400 MW Meja thermal power project - ET EnergyWorld"
BHEL.NS,"BHEL, Coal India investing Rs 25,000 crore in Odisha coal gasification project: G Kishan Reddy - Moneycontrol.com"
CGPOWER.NS,CG Power and Industrial Solutions' (NSE:CGPOWER) Solid Earnings May Rest On Weak Foundations - simplywall.st
CGPOWER.NS,"CG Power's growth momentum strong, but valuation comfort missing: Sandip Sabharwal - The Economic Times"
CGPOWER.NS,CG Power shares in focus on commissioning EHV switchgear manufacturing facility in Nashik - Upstox
CGPOWER.NS,CG Power shares up 7% on winning Rs 900 crore US data centre order - TradingView
CGPOWER.NS,CG Power commissions a new Extra High-Voltage switchgear manufacturing facility at Nashik - ProjectsMonitor
CAPLIPOINT.NS,"Caplin Point Laboratories Limited (NSE:CAPLIPOINT) Looks Like A Good Stock, And It's Going Ex-Dividend Soon - simplywall.st"
CAPLIPOINT.NS,"CAPLIPOINT: FY26 revenue up 13.2% and PAT up 20.1%, with robust cash reserves and no debt - TradingView"
CAPLIPOINT.NS,Caplin Point Laboratories Limited's (NSE:CAPLIPOINT) Share Price Not Quite Adding Up - simplywall.st
CAPLIPOINT.NS,Caplin Point Laboratories March-Quarter Consol Net Profit 1.7 Bln Rupees - TradingView
CAPLIPOINT.NS,Caplin Point Laboratories Limited's (NSE:CAPLIPOINT) Stock Has Been Sliding But Fundamentals Look Strong: Is The Market Wrong? - simplywall.st
CARBORUNIV.NS,CARBORUNDUM UNIVERSAL LTD Share Price Today - Live CARBORUNIV Stock Price for NSE/BSE - Upstox
CARBORUNIV.NS,Returns On Capital At Carborundum Universal (NSE:CARBORUNIV) Paint A Concerning Picture - simplywall.st
CARBORUNIV.NS,Carborundum Universal Limited (CARBORUNIV) stock price prediction 2026–2030 - Bitget
CARBORUNIV.NS,Are Carborundum Universal Limited's (NSE:CARBORUNIV) Mixed Financials Driving The Negative Sentiment? - simplywall.st
CARBORUNIV.NS,Carborundum Q1 Profit Falls 47%; CFO Resigns Amid Slump - HDFC Sky
CEMPRO.NS,CEMPRO Stock Price and Chart — NSE:CEMPRO - TradingView
CEMPRO.NS,Earnings Update: Cemindia Projects Limited (NSE:CEMPRO) Just Reported And Analysts Are Trimming Their Forecasts - simplywall.st
CEMPRO.NS,CEMINDIA PROJECTS LIMITED Share Price Today - Live CEMPRO Stock Price for NSE/BSE - Upstox
CEMPRO.NS,Cemindia Projects Limited | Stock Share Price Live - MarketSmith India
CEMPRO.NS,There's A Lot To Like About Cemindia Projects' (NSE:CEMPRO) Upcoming ₹3.00 Dividend - simplywall.st
CUMMINSIND.NS,Cummins India's (NSE:CUMMINSIND) Solid Earnings May Rest On Weak Foundations - simplywall.st
CUMMINSIND.NS,"CUMMINSIND: Sales and profit rose sharply in FY 2026, led by data center demand and strong domestic growth - TradingView"
CUMMINSIND.NS,Cummins India Limited (NSE:CUMMINSIND) Just Reported And Analysts Have Been Lifting Their Price Targets - simplywall.st
CUMMINSIND.NS,"CUMMINSIND: FY 2025-26 saw robust profit growth, higher dividends, and notable one-time items - TradingView"
CUMMINSIND.NS,Cummins India Ltd. Share Price Today - Cummins India Ltd. Stock Price Live NSE/BSE - CNBC TV18
DATAPATTNS.NS,Concerns Surrounding Data Patterns (India)'s (NSE:DATAPATTNS) Performance - simplywall.st
DATAPATTNS.NS,"DATAPATTNS: FY 2025-26 saw robust profit growth, higher revenue, and a Rs. 10 dividend per share - TradingView"
DATAPATTNS.NS,"If EPS Growth Is Important To You, Data Patterns (India) (NSE:DATAPATTNS) Presents An Opportunity - simplywall.st"
DATAPATTNS.NS,Data Patterns (India) Limited (DATAPATTNS) stock price prediction 2026–2030 - Bitget
DATAPATTNS.NS,Data Patterns (India) Ltd. Share Price Today - Data Patterns (India) Ltd. Stock Price Live NSE/BSE - CNBC TV18
DEEPAKFERT.NS,"DEEPAKFERT: Q4 FY26 revenue rose 13% YoY, but PAT fell 50% YoY amid margin pressures and capex expansion - TradingView"
DEEPAKFERT.NS,A Look At The Intrinsic Value Of Deepak Fertilisers And Petrochemicals Corporation Limited (NSE:DEEPAKFERT) - simplywall.st
DEEPAKFERT.NS,Is Deepak Fertilisers And Petrochemicals (NSE:DEEPAKFERT) A Risky Investment? - simplywall.st
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corporation Ltd. Share Price Live Today - CNBC TV18
DEEPAKFERT.NS,"DEEPAKFERT: Revenue up 12% YoY, but margins and profit declined; 100% dividend recommended - TradingView"
ELGIEQUIP.NS,Number of shareholders of ELGI Equipments Limited – NSE:ELGIEQUIP - TradingView
ELGIEQUIP.NS,Investors Should Be Encouraged By Elgi Equipments' (NSE:ELGIEQUIP) Returns On Capital - simplywall.st
ELGIEQUIP.NS,"ELGIEQUIP: Q4 FY26 saw 12% revenue growth and stronger margins, with net cash rising to INR 6,207 Mn - TradingView"
ELGIEQUIP.NS,Elgi Equipments (NSE:ELGIEQUIP) shareholders have earned a 32% CAGR over the last five years - simplywall.st
ELGIEQUIP.NS,Here's Why Elgi Equipments (NSE:ELGIEQUIP) Has Caught The Eye Of Investors - simplywall.st
EMCURE.NS,"Emcure Pharma climbs after foreign brokerage reiterates Buy call, lifts target - Business Standard"
EMCURE.NS,EMCURE PHARMACEUTICALS LTD. Share Price Today Up 6% - Equitymaster
EMCURE.NS,"Stock Picks Today: Zee Entertainment, Blue Star, Meesho, Tech Mahindra, And More On Brokerages' Radar - NDTV Profit"
EMCURE.NS,Emcure and Roche sign distribution agreement to strengthen nephrology and transplant care in India - Express Pharma
EMCURE.NS,Emcure Pharmaceuticals shares rise nearly 4% after Bain Capital divests 2% stake; everything you need to know - Upstox
ENGINERSIN.NS,What Is Engineers India Limited's (NSE:ENGINERSIN) Share Price Doing? - simplywall.st
ENGINERSIN.NS,Engineers India (ENGINERSIN) Q4 25/26 earnings summary - Quartr
ENGINERSIN.NS,"ENGINERSIN: Strong revenue and profit growth in FY26, with key risks from unbilled and doubtful receivables - TradingView"
ENGINERSIN.NS,Engineers India Limited (ENGINERSIN) stock price prediction 2026–2030 - Bitget
ENGINERSIN.NS,Will Weakness in Engineers India Limited's (NSE:ENGINERSIN) Stock Prove Temporary Given Strong Fundamentals? - simplywall.st
NYKAA.NS,Falguni Nayar's Nykaa is much more than a marketplace - Forbes India
NYKAA.NS,TirTir enters India's largest beauty platform Nykaa - The Korea Herald
NYKAA.NS,Nykaa shares rise 7% to hit 52-week high as firm targets over $5-bn GMV by FY30 - Moneycontrol.com
NYKAA.NS,"Stocks to buy in 2026 for long term: BSE, Nykaa among 5 stocks that could give 10-20% return - The Economic Times"
NYKAA.NS,Nykaa sets FY30 GMV target above $5bn - Retail Insight Network
FINCABLES.NS,Finolex Cables Limited (NSE:FINCABLES) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future? - simplywall.st
FINCABLES.NS,"FINCABLES: Q4 revenue surged 22% YoY, with strong growth in Wires & Cables and improved margins - TradingView"
FINCABLES.NS,Analysts Are Betting On Finolex Cables Limited (NSE:FINCABLES) With A Big Upgrade This Week - simplywall.st
FINCABLES.NS,"HOT STOCKS: SUPRIYA Hits All-Time High; ICIL, WOCKPHARMA, TMB Lead Gainers | IOLCP, APARINDS, INDIANB, PGIL Among Top Losers | AJANTPHARM, ANURAS Close Above 50-SMA; FINCABLES, JBCHEPHARM, TORNTPHARM Near Key Average - MarketSmith India"
FINCABLES.NS,Looking to buy? These 3 stocks deserve a spot in your portfolio; know why - Business Standard
GVT&D.NS,We Think GE Vernova T&D India's (NSE:GVT&D) Profit Is Only A Baseline For What They Can Achieve - simplywall.st
GVT&D.NS,GVT&D Stock Price and Chart — NSE:GVT&D - TradingView
GVT&D.NS,After Leaping 27% GE Vernova T&D India Limited (NSE:GVT&D) Shares Are Not Flying Under The Radar - simplywall.st
GVT&D.NS,"GE Vernova Q4 results: Net profit soars 89% YoY to ₹352 crore, revenue rises 42%; ₹10/share dividend recommended - Upstox"
GVT&D.NS,GVT&D: FY 25-26 revenue rose 45% with strong order growth and improved profitability - TradingView
GLAND.NS,Disruption of the Anterior Borders of the Mammary Gland on Ultrasound Does Not Always Indicate the Presence of Invasive Breast Cancer Components: A Case Report - Cureus
GLAND.NS,"Gland Pharma schedules analyst meeting on June 25, 2026 - scanx.trade"
GLAND.NS,Enhanced colorectal gland segmentation through multi-scale attention and contextual feature fusion - Nature
GLAND.NS,How H5N1 Bird Flu Infects Dairy Cow Mammary Glands - the-scientist.com
GLAND.NS,Imaging features of lacrimal gland disease - Frontiers
GRANULES.NS,"GRANULES Outlook for the Week (June 22, 2026 – June 26, 2026) - Equitypandit"
GRANULES.NS,"Glass frit and other glass (powder, granules, flakes) (HS: 320740) Product Trade, Exporters and Importers - The Observatory of Economic Complexity"
GRANULES.NS,U.S. FDA issues VAI classification to Granules arm Virginia facility - The Hindu
GRANULES.NS,Add Granules India Ltd for Target Rs.835 by Choice Institutional Equities - Investment Guru
GRANULES.NS,Granules Gets 4 USFDA Observations for US Facility - Medical Dialogues
HFCL.NS,HFCL shares slip 10% in two sessions after sharp 165% rally in 2026 - The Economic Times
HFCL.NS,Where Will HFCL be in Next 3 Years? - Equitymaster
HFCL.NS,"Stocks to watch, June 18: HFCL, Vedanta Aluminium, RVNL, DOMS Industries, BSE, GIC Re, liquor stocks - Upstox"
HFCL.NS,"Nearly 121x profit! HFCL promoter's Rs 10 Jio Platforms bet may yield a Rs 5,800 crore holding - Business Today"
HFCL.NS,"RVNL, HFCL shares jump after major order wins - MSN"
POWERINDIA.NS,"₹30,379 - That's What Analysts Think Hitachi Energy India Limited (NSE:POWERINDIA) Is Worth After These Results - simplywall.st"
POWERINDIA.NS,"POWERINDIA: Q4 FY26 delivered robust revenue and profit growth, with record orders and major new investments - TradingView"
POWERINDIA.NS,Hitachi Energy India (POWERINDIA) Q4 25/26 earnings summary - Quartr
POWERINDIA.NS,Hitachi Energy India Limited announces Q3FY26 results: Continued growth momentum with strong execution and a solid order backlog drives Q3 performance - Hitachi Energy
POWERINDIA.NS,"IND v AFG, 2nd ODI: Gill, Kishan tons power India to crushing 170-run victory over Afghanistan - Sportstar"
HONASA.NS,Honasa Consumer appoints Richa Gupta to lead e-commerce business - ET BrandEquity
HONASA.NS,Honasa appoints Richa Gupta as senior vice president for ecommerce - HR Katha
HONASA.NS,"Honasa Consumer is growing again, but can it keep margins intact? - The Indian Express"
HONASA.NS,Buy Honasa Consumer; target of Rs 500: ICICI Securities - Moneycontrol.com
HONASA.NS,Honasa delivers twice in a row - The Morning Context
IFCI.NS,"NSE files IPO DRHP: IFCI stock sees profit booking, falls up to 10% - Moneycontrol.com"
IFCI.NS,IFCI tanks 10% on huge volume after massive 102% surge from March low - Business Standard
IFCI.NS,IFCI shares slide over 10% after NSE IPO filing - MSN
IFCI.NS,"NSE IPO impact: New India Assurance, IFCI, NSDL, other stocks surge up to 14% as NSE files IPO papers with SEBI - Upstox"
IFCI.NS,"NSE files IPO DRHP: NIACL rises 26% in 6 sessions, IFCI gains 7% a day after profit booking - TradingView"
JBCHEPHARM.NS,There's A Lot To Like About J. B. Chemicals & Pharmaceuticals' (NSE:JBCHEPHARM) Upcoming ₹9.30 Dividend - simplywall.st
JBCHEPHARM.NS,"HOT STOCKS: SUPRIYA Hits All-Time High; ICIL, WOCKPHARMA, TMB Lead Gainers | IOLCP, APARINDS, INDIANB, PGIL Among Top Losers | AJANTPHARM, ANURAS Close Above 50-SMA; FINCABLES, JBCHEPHARM, TORNTPHARM Near Key Average - MarketSmith India"
JBCHEPHARM.NS,Buy JB Chemicals and Pharmaceuticals; target of Rs 2400: Prabhudas Lilladher - TradingView
JBCHEPHARM.NS,J. B. Chemicals & Pharmaceuticals Limited Just Missed Earnings - But Analysts Have Updated Their Models - simplywall.st
JBCHEPHARM.NS,J. B. Chemicals & Pharmaceuticals Limited's (NSE:JBCHEPHARM) Stock Is Going Strong: Is the Market Following Fundamentals? - simplywall.st
JBMA.NS,Here's Why We Think JBM Auto (NSE:JBMA) Is Well Worth Watching - simplywall.st
JBMA.NS,JBM Auto Unit Secures 7.50 Billion Rupees Investment - TradingView
JBMA.NS,"Stocks with price-volume breakout: Ajanta Pharma, JBMA, Manappuram Finance - Business Standard"
JBMA.NS,Stock Stories: How JBM Auto Is Benefiting from India’s Electric Mobility and Auto Manufacturing Expansion - MarketSmith India
JBMA.NS,"JBMA, Olectra Jump on Govt Push for 45,000 New E‑Buses - HDFC Sky"
J&KBANK.NS,J&K Bank Boosts Digital Push in Sonamarg - Rising Kashmir
J&KBANK.NS,J&K Bank opens easy banking unit in Poonch - Greater Kashmir
J&KBANK.NS,C Nubra hold meeting with Bank Managers of SBI Bank and J&K Bank Nubra. - Administration of Union Territory of Ladakh
J&KBANK.NS,"J&K Bank commissions Easy Banking Unit at Mankote, Poonch - Kashmir Indepth"
J&KBANK.NS,J&K Bank opens Easy Banking Unit at Mankote in Poonch - Daily Excelsior
JINDALSAW.NS,Here's What We Like About Jindal Saw's (NSE:JINDALSAW) Upcoming Dividend - simplywall.st
JINDALSAW.NS,"Jindal Saw Ltd to host investor meet on June 19, 2026 - scanx.trade"
JINDALSAW.NS,Jindal SAW: Integrated Stainless Steel Solutions from India to the World - Tube & Pipe India
JINDALSAW.NS,Up Sharp Today: Why Jindal Saw Shares Are Gaining Momentum - Equitymaster
JINDALSAW.NS,"Upcoming Dividend Stocks Next Week: L&T, Jindal SAW, Havells India in Focus - Groww"
KEI.NS,Honda Super-N uses lightweight kei platform for 70kW compact EV - Electric & Hybrid Vehicle Technology International
KEI.NS,"KEI INDUSTRIES LTD. Option Chain - Live KEI INDUSTRIES LTD. Option Chain Data, OI & Price - Upstox"
KEI.NS,"Polycab India, RR Kabel, KEI Industries: Why Kotak has 'Sell' rating on these three stocks - Business Today"
KEI.NS,DSM Kei Ninomiya Men’s Spring 2027: God Save Punk - WWD
KEI.NS,"Sunflower, DSM Kei Ninomiya and Simone Rocha bring fresh wave of creativity to Pitti Uomo - FashionNetwork India"
KPIL.NS,"Kalpataru Projects International Delivers Record Revenue, Profit and Order Book in FY 2025-26 - scanx.trade"
KPIL.NS,"KPIL AWARDED NEW ORDERS OF Rs 2,002 CRORES | India's first News Website on Projects Investment - ProjectsMonitor"
KPIL.NS,KPIL secures orders worth ₹2002 crore - Construction Week India
KPIL.NS,"KPIL bags new orders worth ₹2,002 crore across power T&D, buildings and railways segments - ET EnergyWorld"
KPIL.NS,KPIL SELLS VINDHYACHAL EXPRESSWAY STAKE - ICICI Direct
KIRLOSENG.NS,Kirloskar Oil Engines Announces Significant Order From Hypernext - TradingView
KIRLOSENG.NS,Kirloskar Oil Engines Share Surges 20%; 192 MW Data Centre Order from HyperNext Ignites Upper Circuit Rally - HDFC Sky
KIRLOSENG.NS,Kirloskar Oil Engines' (NSE:KIRLOSENG) five-year earnings growth trails the fantastic shareholder returns - simplywall.st
KIRLOSENG.NS,What Kirloskar Oil Engines Limited's (NSE:KIRLOSENG) 28% Share Price Gain Is Not Telling You - simplywall.st
KIRLOSENG.NS,"KIRLOSENG: Record FY26 revenue and profit growth, with strong B2B, B2C, and financial services performance - TradingView"
KIMS.NS,"KIMS RENOVA Oncology Institute Inaugurated at KIMS Hospitals, Mahadevapura, Bengaluru - The Indian Practitioner"
KIMS.NS,From gelato to tailored suits: Kim Woo-bin's candid Milan photos leave fans swooning - The Korea Times
KIMS.NS,"North Korea's Kim says country will exercise its position as nuclear state, KCNA reports​​ - Reuters"
KIMS.NS,'Goal of overtaking the world': Kim Jong-un calls for major expansion of North Korea's nuclear arsenal - The Times of India
KIMS.NS,North Korea’s Kim says ‘defeated’ Japan transforming into a ‘war state’ - South China Morning Post
LAURUSLABS.NS,"LAURUSLABS Outlook for the Week (June 22, 2026 – June 26, 2026) - Equitypandit"
LAURUSLABS.NS,How The Laurus Labs (NSEI:LAURUSLABS) Investment Story Is Evolving With A Steady Price Target - Yahoo Finance
LAURUSLABS.NS,"August MSCI Rejig Could Trigger Over Rs 30,000 Crore Inflows Into India; Laurus Labs, Biocon Lead Race - NDTV Profit"
LAURUSLABS.NS,"Laurus Labs, Biocon, Ather Energy, Lenskart among probable MSCI India Standard Index inclusion candidates, - The Economic Times"
LAURUSLABS.NS,Laurus Labs Limited (NSE:LAURUSLABS) Goes Ex-Dividend Soon - simplywall.st
